date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:58	60449/60449	---M--	200	added ('OK')	image/jpeg	etag:%22666a781f-ec21%22	https://templates.hibotheme.com/adma/default/assets/img/pages/pages-29.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/pages/pages-29.jpg	(from https://templates.hibotheme.com/adma/default/university-life.html)
16:16:59	139414/139414	---M--	200	added ('OK')	image/jpeg	etag:%22666a77ac-22096%22	https://templates.hibotheme.com/adma/default/assets/img/faculty/faculty-6.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/faculty/faculty-6.jpg	(from https://templates.hibotheme.com/adma/default/faculty.html)
16:16:59	43443/43443	---M--	200	added ('OK')	image/jpeg	etag:%22666a780b-a9b3%22	https://templates.hibotheme.com/adma/default/assets/img/overview/overview-1.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/overview/overview-1.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:00	19301/19301	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22666a780c-4b65%22	https://templates.hibotheme.com/adma/default/assets/img/overview/overview-3.svg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/overview/overview-3.svg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:00	54605/54605	---M--	200	added ('OK')	image/jpeg	etag:%22666a780b-d54d%22	https://templates.hibotheme.com/adma/default/assets/img/overview/overview-2.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/overview/overview-2.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:00	220633/220633	---M--	200	added ('OK')	image/jpeg	etag:%22666a77db-35dd9%22	https://templates.hibotheme.com/adma/default/assets/img/programs/programs-1.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/programs/programs-1.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:00	64319/64319	---M--	200	added ('OK')	image/jpeg	etag:%22666a77da-fb3f%22	https://templates.hibotheme.com/adma/default/assets/img/programs/programs-3.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/programs/programs-3.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:01	73708/73708	---M--	200	added ('OK')	image/jpeg	etag:%22666a77db-11fec%22	https://templates.hibotheme.com/adma/default/assets/img/programs/programs-2.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/programs/programs-2.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:01	454140/454140	---M--	200	added ('OK')	image/jpeg	etag:%22666a7829-6edfc%22	https://templates.hibotheme.com/adma/default/assets/img/facilities/facilities-2.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/facilities/facilities-2.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:01	1119443/1119443	---M--	200	added ('OK')	image/jpeg	etag:%22666a781d-1114d3%22	https://templates.hibotheme.com/adma/default/assets/img/pages/pages-10.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/pages/pages-10.jpg	(from https://templates.hibotheme.com/adma/default/login.html)
16:17:02	288163/288163	---M--	200	added ('OK')	image/jpeg	etag:%22666a77b1-465a3%22	https://templates.hibotheme.com/adma/default/assets/img/apply/apply-2.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/apply/apply-2.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:02	58565/58565	---M--	200	added ('OK')	image/jpeg	etag:%22666a77ed-e4c5%22	https://templates.hibotheme.com/adma/default/assets/img/upcoming/upcoming-2.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/upcoming/upcoming-2.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:02	226804/226804	---M--	200	added ('OK')	image/jpeg	etag:%22666a77ee-375f4%22	https://templates.hibotheme.com/adma/default/assets/img/upcoming/upcoming-1.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/upcoming/upcoming-1.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:02	29248/29248	---M--	200	added ('OK')	image/jpeg	etag:%22666a77ed-7240%22	https://templates.hibotheme.com/adma/default/assets/img/upcoming/upcoming-3.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/upcoming/upcoming-3.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:02	52123/52123	---M--	200	added ('OK')	image/jpeg	etag:%22666a77ee-cb9b%22	https://templates.hibotheme.com/adma/default/assets/img/upcoming/upcoming-4.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/upcoming/upcoming-4.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:02	148601/148601	---M--	200	added ('OK')	image/jpeg	etag:%22666a77af-24479%22	https://templates.hibotheme.com/adma/default/assets/img/apply/apply-3.jpg	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/apply/apply-3.jpg	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:02	797/797	---M--	200	added ('OK')	image/png	etag:%22666a77bb-31d%22	https://templates.hibotheme.com/adma/default/assets/img/shape/shape-1.png	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/shape/shape-1.png	(from https://templates.hibotheme.com/adma/default/index-2.html)
16:17:03	822/822	---M--	200	added ('OK')	image/png	etag:%22666a77bc-336%22	https://templates.hibotheme.com/adma/default/assets/img/shape/shape-2.png	F:/cultivision%20web/templates.hibotheme.com/adma/default/assets/img/shape/shape-2.png	(from https://templates.hibotheme.com/adma/default/index-2.html)
